ESTADO_CIVIL,IDADE,FORMA_INGRESSO,FORMA_EVASAO,ETNIA,DEFICIENCIAS,COTAS,NOME_DISCIPLINA,SITUACAO_DISCIPLINA,MEDIA_FINAL,FALTAS,BOLSA
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Linguagem de Programacao II,Reprovado,0-5,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Estrutura de Dados,Reprovado,0-5,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Estatistica Computacional,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Informatica e Sociedade,Aprovado,8-10,20-25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Sistemas de Apoio a Decisao,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,"Organizacao, Sistemas e Metodos",Aprovado,8-10,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Psicologia Aplicada,Aprovado,8-10,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Estrutura de Dados,Reprovado,0-5,0-5%,Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Sistemas Operacionais,Aprovado,5-8,10-15%,Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Estatistica Computacional,Aprovado,8-10,0-5%,Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Sistemas de Apoio a Decisao,Reprovado por Frequencia,0-5,Acima de 25%,Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Sistemas de Apoio a Decisao,Reprovado por Frequencia,0-5,Acima de 25%,Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Estrutura de Dados,Reprovado,0-5,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Linguagem de Programacao II,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Sistemas de Apoio a Decisao,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Estrutura de Dados,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Sistemas de Apoio a Decisao,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Linguagem de Programacao II,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Linguagem de Programacao II,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Sistemas de Apoio a Decisao,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Estrutura de Dados,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Jubilamento,Branca,Sem Deficiencia,Ampla Concorrencia,Psicologia Aplicada,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Jubilamento,Branca,Sem Deficiencia,Ampla Concorrencia,Linguagem de Programacao II,Reprovado,0-5,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Jubilamento,Branca,Sem Deficiencia,Ampla Concorrencia,Estrutura de Dados,Reprovado,0-5,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Jubilamento,Branca,Sem Deficiencia,Ampla Concorrencia,Informatica e Sociedade,Aprovado,5-8,5-10%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Jubilamento,Branca,Sem Deficiencia,Ampla Concorrencia,"Organizacao, Sistemas e Metodos",Aprovado,8-10,0-5%,Nao Possuia
